src,dest
AKT1,PPP1R3D
AKT1,PPP1R3E
AKT1,RAF1
AKT1,RELA
AKT1,SLC2A4
AKT1,TBC1D4
AKT1,TBC1D7
AKT1,TSC1
AKT1,TSC2
AKT1S1,EIF4EBP1
AKT1S1,MTOR
AKT1S1,PPARG
AKT1S1,RPS6KB1
AKT1S1,RPS6KB2
AKT1S1,RPTOR
AKT1S1,ULK1
AKT2,AKT1S1
AKT2,ATF2
AKT2,ATF4
AKT2,ATF6B
AKT2,BAD
AKT2,BCL2
AKT2,BRCA1
AKT2,CASP9
AKT2,CDKN1A
AKT2,CDKN1B
AKT2,CHUK
AKT2,CREB1
AKT2,CREB3
AKT2,CREB3L1
AKT2,CREB3L2
AKT2,CREB3L3
AKT2,CREB3L4
AKT2,CREB5
AKT2,FOXO1
AKT2,FOXO3
AKT2,GSK3A
AKT2,GSK3B
AKT2,IKBKB
AKT2,MAP2K4
AKT2,MAP3K5
AKT2,MAP3K8
AKT2,MAPK1
AKT2,MAPK3
AKT2,MDM2
AKT2,MTOR
AKT2,NFKB1
AKT2,NFKBIA
AKT2,NFKBIB
AKT2,NFKBIE
AKT2,NOS1
AKT2,NOS2
AKT2,NOS3
AKT2,NR4A1
AKT2,PDE3B
AKT2,PFKFB2
AKT2,PPP1CA
AKT2,PPP1CB
AKT2,PPP1CC
AKT2,PPP1R3A
AKT2,PPP1R3B
AKT2,PPP1R3C
AKT2,PPP1R3D
AKT2,PPP1R3E
AKT2,RAF1
AKT2,RELA
AKT2,SLC2A4
AKT2,TBC1D4
AKT2,TBC1D7
AKT2,TSC1
AKT2,TSC2
AKT3,AKT1S1
AKT3,ATF2
AKT3,ATF4
AKT3,ATF6B
AKT3,BAD
AKT3,BCL2
AKT3,BRCA1
AKT3,CASP9
AKT3,CDKN1A
AKT3,CDKN1B
AKT3,CHUK
AKT3,CREB1
AKT3,CREB3
AKT3,CREB3L1
AKT3,CREB3L2
AKT3,CREB3L3
AKT3,CREB3L4
AKT3,CREB5
AKT3,FOXO1
AKT3,FOXO3
AKT3,GSK3A
AKT3,GSK3B
AKT3,IKBKB
AKT3,MAP2K4
AKT3,MAP3K5
AKT3,MAP3K8
AKT3,MAPK1
AKT3,MAPK3
AKT3,MDM2
AKT3,MTOR
AKT3,NFKB1
AKT3,NFKBIA
AKT3,NFKBIB
AKT3,NFKBIE
AKT3,NOS1
AKT3,NOS2
AKT3,NOS3
AKT3,NR4A1
AKT3,PDE3B
AKT3,PFKFB2
AKT3,PPP1CA
AKT3,PPP1CB
AKT3,PPP1CC
AKT3,PPP1R3A
AKT3,PPP1R3B
AKT3,PPP1R3C
AKT3,PPP1R3D
AKT3,PPP1R3E
AKT3,RAF1
AKT3,RELA
AKT3,SLC2A4
AKT3,TBC1D4
AKT3,TBC1D7
AKT3,TSC1
AKT3,TSC2
AMH,AMHR2
AMH,BMPR1A
AMH,BMPR1B
AMH,BMPR2
ANAPC5,IL17RA
ANAPC5,IL17RC
ANAPC5,TNFAIP3
ANAPC5,TRAF6
ANGPT1,CSF1R
ANGPT1,EGFR
ANGPT1,EPHA2
ANGPT1,ERBB2
ANGPT1,ERBB3
ANGPT1,ERBB4
ANGPT1,FGFR1
ANGPT1,FGFR2
ANGPT1,FGFR3
ANGPT1,FGFR4
ANGPT1,FLT1
ANGPT1,FLT3
ANGPT1,FLT4
ANGPT1,IGF1R
ANGPT1,INSR
ANGPT1,KDR
ANGPT1,KIT
ANGPT1,MET
ANGPT1,NGFR
ANGPT1,NTRK1
ANGPT1,NTRK2
ANGPT1,PDGFRA
ANGPT1,PDGFRB
ANGPT1,TEK
ANGPT2,CSF1R
ANGPT2,EGFR
ANGPT2,EPHA2
ANGPT2,ERBB2
ANGPT2,ERBB3
ANGPT2,ERBB4
ANGPT2,FGFR1
ANGPT2,FGFR2
ANGPT2,FGFR3
ANGPT2,FGFR4
ANGPT2,FLT1
ANGPT2,FLT3
ANGPT2,FLT4
ANGPT2,IGF1R
ANGPT2,INSR
ANGPT2,KDR
ANGPT2,KIT
ANGPT2,MET
ANGPT2,NGFR
ANGPT2,NTRK1
ANGPT2,NTRK2
ANGPT2,PDGFRA
ANGPT2,PDGFRB
ANGPT2,TEK
ANGPT4,CSF1R
ANGPT4,EGFR
ANGPT4,EPHA2
ANGPT4,ERBB2
ANGPT4,ERBB3
ANGPT4,ERBB4
ANGPT4,FGFR1
ANGPT4,FGFR2
ANGPT4,FGFR3
ANGPT4,FGFR4
ANGPT4,FLT1
ANGPT4,FLT3
ANGPT4,FLT4
ANGPT4,IGF1R
ANGPT4,INSR
ANGPT4,KDR
ANGPT4,KIT
ANGPT4,MET
ANGPT4,NGFR
ANGPT4,NTRK1
ANGPT4,NTRK2
ANGPT4,PDGFRA
ANGPT4,PDGFRB
ANGPT4,TEK
APAF1,CASP9
APBB1IP,ENAH
APBB1IP,EVL
APBB1IP,PFN1
APBB1IP,PFN2
APBB1IP,PFN3
APBB1IP,PFN4
APBB1IP,TLN1
APBB1IP,TLN2
APBB1IP,VASP
APC,AXIN1
APC,AXIN2
APC,CTNNB1
APC,DVL1
APC,DVL2
APC,DVL3
APC,SKP1
APC,TCF7
APC2,APC
APC2,AXIN1
APC2,AXIN2
APC2,CTNNB1
APC2,DVL1
APC2,DVL2
APC2,DVL3
APC2,SKP1
APC2,TCF7
APH1A,APH1B
APH1A,NOTCH1
APH1A,NOTCH2
APH1A,NOTCH3
APH1A,NOTCH4
APH1A,PSEN1
APH1A,PSEN2
APH1A,PSENEN
APH1B,NOTCH1
APH1B,NOTCH2
APH1B,NOTCH3
APH1B,NOTCH4
APLNR,GNA13
APLNR,GNAI1
APLNR,GNAI2
APLNR,GNAI3
APLNR,GNAQ
APLNR,GNB1
APLNR,GNB2
APLNR,GNB3
APLNR,GNB4
APLNR,GNB5
APLNR,GNG10
APLNR,GNG11
APLNR,GNG12
APLNR,GNG13
APLNR,GNG2
APLNR,GNG3
APLNR,GNG4
APLNR,GNG5
APLNR,GNG7
APLNR,GNG8
APLNR,GNGT1
APLNR,GNGT2
APLNR,PIK3C3
APLNR,PIK3R4
ARAP3,RHOA
AREG,CSF1R
AREG,EGFR
AREG,EPHA2
AREG,ERBB2
AREG,ERBB3
AREG,ERBB4
AREG,FGFR1
AREG,FGFR2
AREG,FGFR3
AREG,FGFR4
AREG,FLT1
AREG,FLT3
AREG,FLT4
AREG,IGF1R
AREG,INSR
AREG,KDR
AREG,KIT
AREG,MET
AREG,NGFR
AREG,NTRK1
AREG,NTRK2
AREG,PDGFRA
AREG,PDGFRB
AREG,TEK
ARF1,PLD1
ARF1,PLD2
ARF6,PLD1
ARF6,PLD2
ARF6,RAC1
ARHGDIA,RHOA
ARHGDIB,RHOA
ARHGDIG,RHOA
ARHGEF12,HRAS
ARHGEF12,KRAS
ARHGEF12,MRAS
ARHGEF12,NRAS
ARHGEF12,RHOA
ARHGEF12,RRAS
ARHGEF12,RRAS2
ARNT,ALDOA
ARNT,ALDOB
ARNT,ALDOC
ARNT,ANGPT1
ARNT,ANGPT2
ARNT,ANGPT4
ARNT,BCL2
ARNT,CDKN1A
ARNT,CDKN1B
ARNT,EDN1
ARNT,EGF
ARNT,ENO1
ARNT,ENO2
ARNT,ENO3
ARNT,ENO4
ARNT,EPO
ARNT,FLT1
ARNT,GAPDH
ARNT,HK1
ARNT,HK2
ARNT,HK3
ARNT,HKDC1
ARNT,HMOX1
ARNT,LDHA
ARNT,LDHAL6A
ARNT,LDHAL6B
ARNT,LDHB
ARNT,LDHC
ARNT,LTBR
ARNT,NOS2
ARNT,NOS3
ARNT,NPPA
ARNT,PDK1
ARNT,PFKFB3
ARNT,PFKL
ARNT,PFKM
ARNT,PFKP
ARNT,PGK2
ARNT,SERPINE1
ARNT,SLC2A1
ARNT,TEK
ARNT,TF
ARNT,TFRC
ARNT,VEGFA
ARRB1,ARRB2
ARRB1,CCR1
ARRB1,CCR10
ARRB1,CCR2
ARRB1,CCR3
ARRB1,CCR4
ARRB1,CCR5
ARRB1,CCR6
ARRB1,CCR7
ARRB1,CCR8
ARRB1,CCR9
ARRB1,CX3CR1
ARRB1,CXCR1
ARRB1,CXCR2
ARRB1,CXCR4
ARRB1,CXCR5
ARRB1,CXCR6
ARRB1,GLI1
ARRB1,GLI2
ARRB1,GLI3
ARRB1,GPR161
ARRB1,XCR1
ARRB2,CCR1
ARRB2,CCR10
ARRB2,CCR2
ARRB2,CCR3
ARRB2,CCR4
ARRB2,CCR5
ARRB2,CCR6
ARRB2,CCR7
ARRB2,CCR8
ARRB2,CCR9
ARRB2,CX3CR1
ARRB2,CXCR1
ARRB2,CXCR2
ARRB2,CXCR4
ARRB2,CXCR5
ARRB2,CXCR6
ARRB2,GLI1
ARRB2,GLI2
ARRB2,GLI3
ARRB2,GPR161
ARRB2,XCR1
ASPH,RYR1
ASPH,RYR2
ASPH,RYR3
ATF2,ATF4
ATF2,BCL2
ATF2,CPT1A
ATF2,CPT1B
ATF2,CPT1C
ATF2,CREB3L1
ATF2,CREB3L2
ATF2,CREB3L3
ATF2,CREB3L4
ATF2,CREB5
ATF2,CREBBP
ATF2,CRTC2
ATF2,EP300
ATF2,G6PC2
ATF2,G6PC3
ATF2,MCL1
ATF2,PCK1
ATF2,PCK2
ATF2,PPARGC1A
ATF2,SIK1
ATF2,VEGFA
ATF2,VEGFB
ATF2,VEGFC
ATF4,BCL2
ATF4,CPT1A
ATF4,CPT1B
ATF4,CPT1C
ATF4,CREB3L1
ATF4,CREB3L2
ATF4,CREB3L3
ATF4,CREB5
ATF4,G6PC2
ATF4,G6PC3
ATF4,MCL1
ATF4,PCK1
ATF4,PCK2
ATF4,PPARGC1A
ATF4,SIK1
ATF4,VEGFA
ATF4,VEGFB
ATF4,VEGFC
ATF6B,BCL2
ATF6B,MCL1
ATF6B,VEGFA
ATF6B,VEGFB
ATF6B,VEGFC
ATG12,ATG5
ATG12,DDX58
ATG12,GABARAP
ATG12,GABARAPL1
ATG12,GABARAPL2
ATG12,MAVS
ATG16L1,ATG12
ATG16L1,ATG5
ATG16L1,GABARAP
ATG16L1,GABARAPL1
ATG16L1,GABARAPL2
ATG5,ATG12
ATG5,DDX58
ATG5,GABARAP
ATG5,GABARAPL1
ATG5,GABARAPL2
ATG5,MAVS
ATM,CHEK2
ATM,TP53
ATP6V1A,LAMTOR1
ATP6V1A,LAMTOR2
ATP6V1A,LAMTOR3
ATP6V1A,LAMTOR4
ATP6V1A,LAMTOR5
ATP6V1B1,LAMTOR1
ATP6V1B1,LAMTOR2
ATP6V1B1,LAMTOR3
ATP6V1B1,LAMTOR4
ATP6V1B1,LAMTOR5
ATP6V1B2,LAMTOR1
ATP6V1B2,LAMTOR2
ATP6V1B2,LAMTOR3
ATP6V1B2,LAMTOR4
ATP6V1B2,LAMTOR5
ATP6V1C1,LAMTOR1
ATP6V1C1,LAMTOR2
ATP6V1C1,LAMTOR3
ATP6V1C1,LAMTOR4
ATP6V1C1,LAMTOR5
ATP6V1C2,LAMTOR1
ATP6V1C2,LAMTOR2
ATP6V1C2,LAMTOR3
ATP6V1C2,LAMTOR4
ATP6V1C2,LAMTOR5
ATP6V1D,LAMTOR1
ATP6V1D,LAMTOR2
ATP6V1D,LAMTOR3
ATP6V1D,LAMTOR4
ATP6V1D,LAMTOR5
ATP6V1E1,LAMTOR1
ATP6V1E1,LAMTOR2
ATP6V1E1,LAMTOR3
ATP6V1E1,LAMTOR4
ATP6V1E1,LAMTOR5
ATP6V1E2,LAMTOR1
ATP6V1E2,LAMTOR2
ATP6V1E2,LAMTOR3
ATP6V1E2,LAMTOR4
