gene_idx,gene_name,degree,log_rna_degree
1,ABL1,0.7577289724,1.8169547209803272
2,ABL2,0.1717632842799999,0.18870125485200184
3,ACAA1,0.18341366938,0.29519291315882545
4,ACACA,0.0862750598333999,0.20687855813490622
5,ACACB,0.0919637578463999,0.12748883892985927
6,ACADL,0.0877835438939999,0.0
7,ACADM,0.11712118416,0.25734154436307355
8,ACOX1,0.1496226830199999,0.3948628383006312
9,ACOX2,0.1748543649199999,0.0
10,ACOX3,0.13806653904,0.15168159644321932
11,ACSBG1,0.1861860403,0.0
12,ACSBG2,0.180759949236,0.0
13,ACSL1,0.1210992590679999,0.4436546008962422
14,ACSL3,0.186093001,0.7242405186281211
15,ACSL5,0.1326456768599998,0.6339300705413055
16,ACSL6,0.1173536629499999,0.0
17,ACTA2,0.0614129471311599,0.0
18,ACTB,0.1699225489097999,1.053261302869518
19,ACTG1,0.0891787831933999,0.5898931801844032
20,ACVR1,0.2446180424603996,0.4760047314657351
21,ACVR1B,0.1043939880427197,0.28270416031294876
22,ACVR1C,0.117693709466,0.0
23,ACVR2A,0.0945051787097759,0.06550599817099494
24,ACVR2B,0.1214546784607998,0.0
25,ADAM17,0.0123298332388391,0.03162539784356825
26,ADCY1,0.3694451220381997,0.0
27,ADCY10,0.2992694055839998,0.0
28,ADCY2,0.2872190224367798,0.0
29,ADCY3,0.2247237556493223,0.0
30,ADCY4,0.4274404721979442,0.469591355430761
31,ADCY5,0.4852786180583364,0.0
32,ADCY6,0.3825931163070998,0.7444918279806854
33,ADCY7,0.3718604875292078,0.2577540484925171
34,ADCY8,0.2909976030742205,0.0
35,ADCY9,0.4798036678360759,0.0
36,ADCYAP1,0.0974789819625998,0.0
37,ADCYAP1R1,0.0374525303566199,0.0
38,ADGRB1,0.02145608366,0.0
39,ADIPOQ,0.2124089649,0.0
40,ADIPOR1,0.060972123146,0.22932835663081733
41,ADIPOR2,0.041050577789,0.14353365564180645
42,ADORA1,0.0490550833001998,0.0
43,ADORA2A,0.0972957491289598,0.0
44,ADORA2B,0.00859517844182,0.01979112975175852
45,ADORA3,0.0350958003329999,0.0
46,ADRA1A,0.0531318146581999,0.0
47,ADRA1B,0.0640735553249999,0.0
48,ADRA1D,0.0308924589539999,0.0
49,ADRA2A,0.1145540939029998,0.0
50,ADRA2B,0.02565829278,0.0
51,ADRA2C,0.0249444502949999,0.0
52,ADRB1,0.0471244919743399,0.0
53,ADRB2,0.107035865525322,0.0
54,ADRB3,0.0359724449446599,0.0
55,AFDN,0.0379785215627198,0.06804837563728508
56,AFP,2.8623318000000003e-05,0.0
57,AGAP2,0.1726688132099998,0.1196849010471432
58,AGER,0.2379525670126997,0.16493615093185424
59,AGRP,0.0413110359309997,0.0
60,AGT,0.2093452612279999,0.3369282002087636
61,AGTR1,0.2591591755692918,0.0
62,AIFM2,0.03289041272,0.08172960528219983
63,AIM2,0.0182015117179999,0.0
