src,dest,conv_bind_weight
18,1241,0.1538703716
19,1822,0.1202277599999999
20,1163,0.1176010825999999
23,1766,0.130666488764
30,1516,0.1471168795282
32,1518,0.1069804233411999
35,1516,0.1314626276654
36,43,0.135763114
45,710,0.11839096199
47,704,0.113601274
50,714,0.1326750008
54,711,0.18352010922
57,1402,0.12835471996
58,482,0.1129659933656739
58,1396,0.10265065562
58,1397,0.15577145576
60,446,0.142146276
60,766,0.110458232
60,767,0.119233007
61,708,0.1487490699999999
61,714,0.1264658796
65,153,0.1164029134
65,643,0.10932390422
65,1165,0.1051079452
65,1478,0.178743677348
65,1479,0.13818374172
66,1231,0.172325445
66,1464,0.1677618246
66,1669,0.1094293174199999
67,104,0.16391281028
67,153,0.1276759784
67,1165,0.1021531803
67,1231,0.1925622908
67,1289,0.1103719667999999
67,1473,0.12284973502
67,1481,0.1183549431999999
67,1757,0.15857924226
67,1943,0.1402518128
68,105,0.1469399109999999
68,146,0.11978885964
68,153,0.1337025604
68,242,0.10344243356
68,385,0.1165486985999999
68,643,0.1123555332
68,1231,0.189224343
68,1308,0.1452687035
68,1480,0.1338177162072
68,1843,0.1126291048639999
74,897,0.1359676776
75,396,0.105902881084
76,622,0.1147066888599999
76,872,0.10756332166
76,1010,0.174312508708
76,1014,0.1262472026
76,1274,0.15216882616
76,1318,0.17226058066
76,1361,0.135792911262
77,396,0.13045216947
77,872,0.15546200758
77,1014,0.1491721526
81,1378,0.141557574
93,564,0.17094155324
93,625,0.140767876572
93,635,0.192176103574
93,1205,0.105380425992
93,1318,0.10672510112
95,1446,0.1029230627241462
96,1643,0.154960967742
99,1309,0.110719512456
99,1675,0.1071687579999999
100,537,0.14386708692
100,559,0.12829373002
100,561,0.1113494684648
100,565,0.126783506302
100,799,0.1139462411794
100,801,0.105108820778
100,802,0.18292715244824
100,1078,0.1368728742458
100,1291,0.118358047734
100,1365,0.17412489215242
101,298,0.196448056
101,431,0.1018809119999999
102,737,0.119718566
104,153,0.1369686521999999
104,390,0.10594829782
104,394,0.1107077489284
104,1740,0.167462270648
104,1970,0.1157168088599999
105,153,0.1619422765399999
105,1740,0.1014183032376
105,1968,0.103926129926
106,153,0.1987730384
108,107,0.1169102354
109,107,0.1002251208
128,1066,0.1358942414
129,1064,0.1153443
135,1066,0.12460947
140,142,0.10557727
140,763,0.117628546
140,1107,0.104709268
141,1436,0.10609541544
142,1435,0.1222336159
142,1436,0.1301337248279999
143,771,0.1316764
148,1871,0.163014822
149,237,0.1365212856
152,1401,0.16177762778
153,149,0.252297756
153,237,0.2735585972
153,1279,0.2569637167999999
153,1922,0.3146181106
155,1279,0.1310225818399999
164,1647,0.15877154298474
165,1648,0.15193270863466
171,20,0.1428242597099999
175,1160,0.115134344848
175,1769,0.1270844784206
177,1165,0.1098735712
177,1765,0.1331546113608
186,187,0.128577268
186,1514,0.13599103244
186,1515,0.12805352462
186,1519,0.1613139722774
186,1825,0.100452782
187,1512,0.1177719659066
187,1513,0.1037961152457999
208,28,0.1329639379
208,217,0.1034574832
208,1244,0.1174447912
208,1291,0.1349254631984
208,1349,0.197983728
208,1499,0.105761142
209,1610,0.125184164
211,30,0.14144786
211,1246,0.104155468
211,1498,0.1751175082
211,1499,0.1150544634
211,1500,0.1150713759999999
212,218,0.11027593
212,1349,0.16118283432
212,1498,0.139621472
212,1502,0.113319902
213,211,0.1134587599999999
213,217,0.149646456
213,1245,0.1287210459999999
213,1291,0.1214679350146
213,1500,0.141371926
214,1290,0.11666476594084
214,1500,0.15939868
214,1502,0.10352276
215,211,0.1432637114
216,208,0.158486752
216,1291,0.14027477029264
218,1353,0.115687278
218,1355,0.1379973699999999
220,30,0.123770076
221,208,0.1051795419999999
221,1355,0.104869102
222,35,0.1109845365006
222,208,0.1471927839724
222,1291,0.1003230413568
222,1351,0.1720748325392
222,1352,0.1246584939268
222,1355,0.1049863648556
233,152,0.1274678335756
233,241,0.1322746703604
233,1400,0.10880337984
235,349,0.15640586136
237,1141,0.1066520258
237,1335,0.1141570748
237,1336,0.1122108432
241,589,0.148476824
244,1691,0.2029818827999999
250,1071,0.1574212239999999
253,298,0.194432514
253,448,0.128718612
254,301,0.1432615269010652
255,296,0.16178094
